time_iso8601,stars_cumulative
2022-05-26 00:00:00+00:00,1
2022-06-21 00:00:00+00:00,2
2022-06-24 00:00:00+00:00,3
2022-06-25 00:00:00+00:00,4
2022-06-28 00:00:00+00:00,5
2022-07-08 00:00:00+00:00,6
2022-08-19 00:00:00+00:00,7
2022-08-24 00:00:00+00:00,8
2022-08-29 00:00:00+00:00,9
2022-09-21 00:00:00+00:00,10
2022-09-30 00:00:00+00:00,12
2022-10-15 00:00:00+00:00,13
2022-10-26 00:00:00+00:00,16
2022-10-27 00:00:00+00:00,18
2022-10-31 00:00:00+00:00,19
2022-11-04 00:00:00+00:00,20
2022-11-08 00:00:00+00:00,21
2022-11-10 00:00:00+00:00,22
2022-11-13 00:00:00+00:00,23
2022-11-15 00:00:00+00:00,24
2022-11-16 00:00:00+00:00,25
2022-11-26 00:00:00+00:00,27
2022-11-29 00:00:00+00:00,28
2022-11-30 00:00:00+00:00,29
2022-12-02 00:00:00+00:00,30
2022-12-04 00:00:00+00:00,45
2022-12-05 00:00:00+00:00,52
2022-12-06 00:00:00+00:00,53
2022-12-07 00:00:00+00:00,55
2022-12-11 00:00:00+00:00,56
2022-12-14 00:00:00+00:00,58
2022-12-19 00:00:00+00:00,59
2022-12-21 00:00:00+00:00,61
2022-12-22 00:00:00+00:00,63
2022-12-23 00:00:00+00:00,68
2022-12-24 00:00:00+00:00,70
2022-12-25 00:00:00+00:00,72
2022-12-30 00:00:00+00:00,73
2023-01-02 00:00:00+00:00,75
2023-01-04 00:00:00+00:00,76
2023-01-05 00:00:00+00:00,77
2023-01-07 00:00:00+00:00,78
2023-01-11 00:00:00+00:00,79
2023-01-12 00:00:00+00:00,82
