time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-03 00:00:00+00:00,67,12,261,10
2023-01-04 00:00:00+00:00,66,16,178,6
2023-01-05 00:00:00+00:00,25,9,231,10
2023-01-06 00:00:00+00:00,0,0,58,4
2023-01-07 00:00:00+00:00,0,0,12,3
2023-01-08 00:00:00+00:00,1,1,67,3
2023-01-09 00:00:00+00:00,3,3,45,4
2023-01-10 00:00:00+00:00,11,8,111,4
2023-01-11 00:00:00+00:00,0,0,49,6
2023-01-12 00:00:00+00:00,2,2,44,6
2023-01-13 00:00:00+00:00,14,6,65,4
2023-01-14 00:00:00+00:00,3,3,33,4
2023-01-15 00:00:00+00:00,2,2,25,2
2023-01-16 00:00:00+00:00,5,3,90,6
2023-01-17 00:00:00+00:00,13,7,68,3
2023-01-18 00:00:00+00:00,1,1,46,12
2023-01-19 00:00:00+00:00,2,2,3,1
2023-01-20 00:00:00+00:00,2,1,2,1
2023-01-21 00:00:00+00:00,1,1,0,0
2023-01-22 00:00:00+00:00,0,0,2,2
2023-01-23 00:00:00+00:00,1,1,5,1
2023-01-24 00:00:00+00:00,0,0,28,2
2023-01-25 00:00:00+00:00,2,2,4,2
2023-01-26 00:00:00+00:00,0,0,2,2
2023-01-27 00:00:00+00:00,0,0,2,1
2023-01-28 00:00:00+00:00,0,0,5,2
2023-01-29 00:00:00+00:00,2,2,39,5
2023-01-30 00:00:00+00:00,1,1,21,3
2023-01-31 00:00:00+00:00,0,0,1,1
2023-02-01 00:00:00+00:00,0,0,8,1
2023-02-02 00:00:00+00:00,46,6,70,6
2023-02-03 00:00:00+00:00,69,6,122,3
2023-02-04 00:00:00+00:00,5,1,16,3
2023-02-05 00:00:00+00:00,0,0,9,1
2023-02-06 00:00:00+00:00,9,4,80,3
2023-02-07 00:00:00+00:00,0,0,14,3
2023-02-08 00:00:00+00:00,2,2,16,2
2023-02-09 00:00:00+00:00,65,5,240,3
2023-02-10 00:00:00+00:00,20,5,106,3
2023-02-11 00:00:00+00:00,0,0,12,2
2023-02-12 00:00:00+00:00,0,0,12,2
2023-02-13 00:00:00+00:00,1,1,12,4
2023-02-14 00:00:00+00:00,1,1,38,3
2023-02-15 00:00:00+00:00,1,1,15,2
2023-02-16 00:00:00+00:00,1,1,16,4
2023-02-17 00:00:00+00:00,33,6,60,3
2023-02-18 00:00:00+00:00,6,5,27,2
2023-02-19 00:00:00+00:00,4,1,53,3
2023-02-20 00:00:00+00:00,5,3,8,2
2023-02-21 00:00:00+00:00,0,0,11,2
2023-02-22 00:00:00+00:00,1,1,5,4
2023-02-23 00:00:00+00:00,16,5,41,1
2023-02-24 00:00:00+00:00,8,4,48,4
2023-02-25 00:00:00+00:00,14,5,139,3
2023-02-26 00:00:00+00:00,19,5,303,4
2023-02-27 00:00:00+00:00,8,3,190,8
2023-02-28 00:00:00+00:00,18,4,255,4
2023-03-01 00:00:00+00:00,2,1,105,8
2023-03-02 00:00:00+00:00,10,6,71,6
2023-03-03 00:00:00+00:00,2,2,37,7
2023-03-04 00:00:00+00:00,20,5,126,6
2023-03-05 00:00:00+00:00,17,5,38,6
2023-03-06 00:00:00+00:00,5,4,62,5
2023-03-07 00:00:00+00:00,5,3,51,5
2023-03-08 00:00:00+00:00,3,1,96,5
2023-03-09 00:00:00+00:00,13,7,28,4
2023-03-10 00:00:00+00:00,1,1,2,2
2023-03-11 00:00:00+00:00,2,2,8,3
2023-03-12 00:00:00+00:00,3,2,1,1
2023-03-13 00:00:00+00:00,2,2,6,4
2023-03-14 00:00:00+00:00,1,1,8,6
2023-03-15 00:00:00+00:00,7,3,3,2
2023-03-16 00:00:00+00:00,2,1,32,5
2023-03-17 00:00:00+00:00,1,1,4,4
2023-03-18 00:00:00+00:00,2,2,17,5
2023-03-19 00:00:00+00:00,0,0,1,1
2023-03-20 00:00:00+00:00,4,1,23,3
2023-03-21 00:00:00+00:00,0,0,9,2
2023-03-22 00:00:00+00:00,1,1,0,0
2023-03-23 00:00:00+00:00,0,0,1,1
2023-03-24 00:00:00+00:00,0,0,2,2
2023-03-27 00:00:00+00:00,21,6,72,5
2023-03-28 00:00:00+00:00,1,1,44,3
2023-03-29 00:00:00+00:00,27,6,126,6
2023-03-30 00:00:00+00:00,8,3,35,2
2023-03-31 00:00:00+00:00,60,7,103,2
2023-04-01 00:00:00+00:00,16,2,0,0
2023-04-02 00:00:00+00:00,0,0,9,4
2023-04-03 00:00:00+00:00,6,3,21,1
2023-04-04 00:00:00+00:00,2,2,0,0
2023-04-05 00:00:00+00:00,1,1,1,1
2023-04-06 00:00:00+00:00,3,3,2,2
